Trade,OfferAmount,OfferItem,DesiredAmount,DesiredItem
"""I have 5 horses that I'm willing to trade for 9 iron. Would you consider the offer?""",5,horses,9,iron
"""I'm interested in acquiring 21 coal and am willing to offer 28 aluminum in exchange. Are you open to a trade?""",28,aluminum,21,coal
"""I'm willing to trade 37 iron for 23 wheat. Is that something you'd be interested in?""",37,iron,23,wheat
"""I'm willing to trade 49 wheat for 30 gold. Would you be interested in making a deal?""",49,wheat,30,gold
"""I'm willing to exchange 47 coal for 28 aluminum. Let me know if you're interested in a trade.""",47,coal,28,aluminum
"""I'm interested in trading 22 aluminum for 39 wheat. What do you think?""",22,aluminum,39,wheat
"""I'm willing to offer 35 wheat for 44 aluminum. Are you interested in making a trade?""",35,wheat,44,aluminum
"""I'm interested in trading 46 coal for 31 wheat. Let me know if you'd like to make a deal.""",46,coal,31,wheat
"""I'm interested in acquiring 33 stones and am willing to offer 34 wood in exchange. Are you open to a trade?""",34,wood,33,stones
"""I'd like to trade 44 aluminum for 12 wheat. What do you think?""",44,aluminum,12,wheat
"""How about a trade? I have 26 coal that I'm willing to exchange for 38 horses.""",26,coal,38,horses
"""I'm willing to trade 16 iron for 15 coal. Would you consider the offer?""",16,iron,15,coal
"""I'd like to acquire 11 aluminum and am willing to trade 37 wheat in exchange. Let me know if you're interested in a deal.""",37,wheat,11,aluminum
"""I have 39 iron that I can trade for 14 gold. Are you interested?""",39,iron,14,gold
"""I have 37 wood and am interested in trading them for 8 horses. What do you think?""",37,wood,8,horses
"""I'm willing to offer 22 coal for 42 stones. Are you interested in making a trade?""",22,coal,42,stones
"""I'm willing to offer 22 wheat for 45 horses. Let me know if you're interested in making a trade.""",22,wheat,45,horses
"""I'd like to acquire 18 iron and can offer 1 stones in exchange. Let me know if you're interested in a trade.""",1,stones,18,iron
"""I have 10 horses that I'm willing to offer in exchange for 18 aluminum. Let me know if you're interested in a trade.""",10,horses,18,aluminum
"""I'm willing to offer 40 horses for 46 coal. Let me know if you're interested in making a trade.""",40,horses,46,coal
"""I'm interested in acquiring 31 stones and am willing to trade 29 aluminum in exchange. Would you be open to that?""",29,aluminum,31,stones
"""I have 21 gold that I'm looking to trade for 47 stones. Would you be open to that exchange?""",21,gold,47,stones
"""I'd like to make a trade. I have 6 iron that I'm willing to offer for 32 coal. Would you be interested?""",6,iron,32,coal
"""I have 31 iron and am looking to exchange them for 50 wood. Would you be open to a trade?""",31,iron,50,wood
"""How about a trade? I have 46 coal that I'm willing to exchange for 17 wheat.""",46,coal,17,wheat
"""I have 37 gold and am looking to exchange them for 31 horses. Would you be open to a trade?""",37,gold,31,horses
