Trade,OfferAmount,OfferItem,DesiredAmount,DesiredItem
I'm interested in acquiring 3 horses and am willing to offer 37 aluminum in exchange. Let me know if you're interested in a trade.,37,aluminum,3,horses
I'm looking to acquire 14 coal and can offer 1 horses in exchange. Would you be interested in a trade?,1,horses,14,coal
I'm interested in trading 3 horses for 34 iron. What do you think?,3,horses,34,iron
I'm interested in trading 16 iron for 48 gold. What do you think?,16,iron,48,gold
I'm interested in trading 9 iron for 39 aluminum. What do you think?,9,iron,39,aluminum
How about a trade? I have 19 coal that I can offer in exchange for 44 horses.,19,coal,44,horses
I'm looking to diversify my holdings and would like to trade 44 iron for 20 wood. Would you be interested?,44,iron,20,wood
"If you're interested in trading, I have 50 horses that I'm willing to offer for 16 aluminum.",50,horses,16,aluminum
I'd like to offer 38 wheat for 1 wood. Would you be interested in making a trade?,38,wheat,1,wood
I'm willing to offer 20 iron for 35 wheat. Let me know if you're interested in making a trade.,20,iron,35,wheat
I'd like to offer 43 horses in exchange for 36 aluminum. Let me know if you're interested in making a trade.,43,horses,36,aluminum
I'd like to make a trade. I have 5 iron that I'm willing to offer for 42 wood.,5,iron,42,wood
I'm looking to trade 27 gold for 16 horses. Would you consider the offer?,27,gold,16,horses
I'm interested in acquiring 43 wood and am willing to offer 39 stones in exchange. Are you open to a trade?,39,stones,43,wood
How about a trade? I have 37 wood that I can offer in exchange for 24 stones.,37,wood,24,stones
I'd like to acquire 11 iron and am willing to offer 29 wheat in exchange. Are you open to a trade?,29,wheat,11,iron
I have 27 wheat that I'm interested in trading for 29 coal. Would you consider the offer?,27,wheat,29,coal
I'm looking to diversify my assets and would like to trade 40 wood for 34 stones. What do you think?,40,wood,34,stones
I'm looking to acquire 20 horses and am willing to offer 30 wood in exchange. Let me know if you're interested in a trade.,30,wood,20,horses
How about we make a trade? I'm willing to offer 21 wheat in exchange for 28 gold.,21,wheat,28,gold
I'd like to trade 46 iron for 3 wheat. Let me know if you're interested.,46,iron,3,wheat
I'm interested in acquiring 29 wood and am willing to offer 17 aluminum in exchange. Are you open to a trade?,17,aluminum,29,wood
I'd like to acquire 44 coal and am willing to trade 32 wheat in exchange. Let me know if you're interested in a deal.,32,wheat,44,coal
I'm interested in trading 31 horses for 39 stones. Let me know if you're interested.,31,horses,39,stones
I'd like to offer 32 horses for 44 aluminum. Are you open to a trade?,32,horses,44,aluminum
I'm looking to trade 27 iron for 35 aluminum. Would you consider the offer?,27,iron,35,aluminum
I'm interested in trading 45 horses for 11 stones. What do you think?,45,horses,11,stones
