Are you open to a trade? I have 32 wheat that I'm willing to exchange for 13 stone.,32,wheat,13,stone
I'm interested in trading 19 wood for 40 coal. Let me know if you'd like to make a deal.,19,wood,40,coal
I'm willing to trade 30 horses for 33 stone. Would you be interested in making a deal?,30,horses,33,stone
I'm looking to acquire 13 aluminum and can offer 1 wheat in exchange. Would you be interested in a trade?,1,wheat,13,aluminum
I'm looking to acquire 40 wood and can offer 39 coal in exchange. Would you be interested in a trade?,39,coal,40,wood
I have 30 wheat that I'm willing to trade for 15 stone. Are you open to a deal?,30,wheat,15,stone
I'd like to acquire 34 wood and can offer 13 wheat in exchange. Let me know if you're interested in a trade.,13,wheat,34,wood
I have 21 wood that I'm willing to trade for 50 iron. Would you be interested?,21,wood,50,iron
I have 46 horses that I'm looking to exchange for 27 coal. Would you like to make a trade?,46,horses,27,coal
I have 31 wood that I can trade for 32 coal. Are you interested in making a deal?,31,wood,32,coal
I'm interested in acquiring 6 aluminum and am willing to offer 47 horses in exchange. Are you open to a trade?,47,horses,6,aluminum
I'd like to acquire 9 iron and can offer 32 coal in exchange. Would you be interested in trading?,32,coal,9,iron
"If you're interested in trading, I have 28 iron that I'm willing to offer for 16 wheat.",28,iron,16,wheat
I'm willing to offer 48 wheat for 46 gold. Are you open to a trade?,48,wheat,46,gold
I'm willing to trade 49 coal for 42 stone. Let me know if you're interested.,49,coal,42,stone
I have 16 wood and am interested in trading them for 34 wheat. What do you think?,16,wood,34,wheat
I'm interested in acquiring 36 stone and am willing to offer 1 iron in exchange. Are you open to a trade?,1,iron,36,stone
I have 10 wheat that I'm willing to trade for 19 gold. Are you open to a deal?,10,wheat,19,gold
How about a trade? I have 18 gold that I can offer in exchange for 45 coal.,18,gold,45,coal
I have 22 iron that I'm willing to trade for 35 aluminum. Would you be interested in making a deal?,22,iron,35,aluminum
I'd like to acquire 2 wheat and am willing to trade 8 coal in exchange. Let me know if you're interested in a deal.,8,coal,2,wheat
I'm looking to diversify my assets and would like to trade 14 wheat for 5 iron. What do you think?,14,wheat,5,iron
I'd like to trade 3 wheat for 20 coal. Let me know if you're interested.,3,wheat,20,coal
I'm looking to trade 2 wheat for 31 stone. Would you consider the offer?,2,wheat,31,stone
I'm interested in trading 26 iron for 9 aluminum. What do you think?,26,iron,9,aluminum
I'm looking to diversify my holdings and would like to trade 30 wood for 3 aluminum. Would you be interested?,30,wood,3,aluminum
I'd like to offer 8 wood for 8 stone. Are you open to a trade?,8,wood,8,stone
I have 3 stone and I'm interested in trading them for 1 coal. Would you consider the offer?,3,stone,1,coal
I'd like to offer 35 aluminum for 17 wood. Would you consider the trade?,35,aluminum,17,wood
I have 38 aluminum that I can trade for 40 wheat. Are you interested?,38,aluminum,40,wheat
I have 34 wheat that I'm looking to exchange for 50 aluminum. Are you open to a trade?,34,wheat,50,aluminum
I have 31 horses that I'm willing to trade for 48 iron. Would you consider the offer?,31,horses,48,iron
I'm interested in trading 12 stone for 38 wheat. Would you be open to a trade?,12,stone,38,wheat
I'm looking to trade 32 coal for 39 aluminum. Would you consider the offer?,32,coal,39,aluminum
